"Imported Companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"ePEXO","Marketing online
We deliver the best results for your companies ands brands, helping your customers acquire your products and services.

Other brands: emBlue
email marketing expert
mail marketing
email marketing campaigns

Directors:
Francisco Gorrini
Daniel Soldan
Julian Drault","Advertising Services","11-50 employees","Privately Held","Ciudad de Buenos Aires, C1084AAD","Argentina","epexo.com","https://www.linkedin.com/company/epexo"
,"PIELLE Consulting Limited","Public Relations and Communication","Public Relations and Communications Services","2-10 employees","Privately Held",,"United Kingdom","pielleconsulting.com","https://www.linkedin.com/company/pielle-consulting-limited"
,"FlipRSS - Automated Email Marketing","FlipRSS enables the creation of automated email marketing campaigns that can be personalised to individual subscriber preferences. 

Include multiple RSS feeds within newsletters and show content based on individual subscriber preferences for the perfect blend of automation and personalisation.

FlipRSS integrates with Mailchimp and Campaign Monitor.","Advertising Services","2-10 employees","Privately Held","Onchan, Isle of Man","Isle of Man","fliprss.com","https://www.linkedin.com/company/fliprss"
,"ETS Tech","Computer Networking","Computer Networking Products","2-10 employees","Privately Held",,"United States","etecnet.com","https://www.linkedin.com/company/ets-tech"
,"Raise Me","Raising profile, funds and networks.

raisemefundraisingnetwork@gmail.com","Fundraising","2-10 employees","Non Profit","Nottingham","United Kingdom",,"https://www.linkedin.com/company/raise-me"
,"Go Net Communications","Telecommunications services","Telecommunications","11-50 employees","Privately Held","Skopje, Centar","Macedonia","go.net.mk","https://www.linkedin.com/company/go-net-communications"
,"Mind2mind","Marketing and Advertising company","Advertising Services","2-10 employees","Privately Held","Bucuresti","Romania","mind-2-mind.com","https://www.linkedin.com/company/mind2mind"
,"Digi Infotech","Make Brand Visibility & Generate High Quality Business Leads through Digi Infotech. We provide promotions like Bulk SMS, Email Marketing, WhatsApp Promotion, Web Development & Web Maintenance, SEO & SMO Services etc..","IT Services and IT Consulting","11-50 employees","Privately Held","New Delhi, Delhi","India","digiinfotech.com","https://www.linkedin.com/company/digi-infotech"
,"Canaliza IT","Bulk SMS sending

We send SMS to any phone company in Mexico and anywhere in the world at the lowest price in the market.

We have a variety of short and long code SMS routes in Mexico and around the world, thanks to our international agreements with MNOs, MVNOs and SMS Hubs.

Canaliza IT has an integrated technological platform that allows it to offer its services to both corporate clients and wholesale partners. Being an In-House development makes it extremely robust and flexible since it allows to quickly enable secure connections via API or via high availability protocols such as SMPP. It also has a self-management graphical interface that simplifies the sending of SMS campaigns.

For the best price in the market, we are agile, reliable, and we will always be by your side!","Telecommunications","51-200 employees","Privately Held","Miguel Hidalgo, CDMX, Ciudad de México","Mexico","canalizait.tech","https://www.linkedin.com/company/canaliza-it"
,"CLEMENT SA","CLEMENT SAS","Printing Services","51-200 employees","Partnership","SEICHAMPS","France","clement-sa.fr","https://www.linkedin.com/company/clement-sa"
,"Rich System Solution Pvt Ltd","RICH SMS formally (Previously) known as RICH Solutions and now part of RICH System Solutions Pvt. Ltd. an organization run by a group of professionals from various backgrounds having expertise in fields of Technology, Administration & Marketing. We are leading provider of Bulk SMS services & SMS Marketing services in India. We expertise in providing technology driven solutions to the lesser addressed issues in society and Business. Mobile phone, Internet ads has already become an extremely powerful way of advertising. Our services are the ideal solution to simultaneously communicate with a large group of audience/customers. These modes of communication are the best to pass important messages, notices like promotion, launches, Information etc.","Technology, Information and Internet","11-50 employees","Privately Held","Nashik, Maharashtra","India","richsol.com","https://www.linkedin.com/company/rich-system-solution-pvt-ltd"
,"JJS&A Inc.","JJS&A Inc. is a full service printing and mailing production company, producing and mailing Newsletters, Catalogs, Magalogs, Newsalogs, Magazines and a multitude of formats for Direct Mail, including envelope packages, postcards, self-mailers and all types of commercial printing","Printing Services","2-10 employees","Privately Held","Southampton, Pennsylvania","United States","jjsainc.com","https://www.linkedin.com/company/jjs-a-inc"
,"CloudiTwins","CloudiTwins","Marketing Services","11-50 employees","Partnership","Austin, TX","United States","clouditwins.com","https://www.linkedin.com/company/clousitwinsnow"
,"Jennings Design","Graphic Design
Advertising
Branding
Packaging","Graphic Design","Self-employed","Self Employed",,"United States","jenningsdesign.com","https://www.linkedin.com/company/jennings-design"
,"MailShark Corporation","MailShark is a Cloud-Based Email filtering service, designed to filter out email based threats and malware. These threats include: viruses, spam, phishing, click-jacking  as well as a host of other malicious undesirables. 

At MailShark we believe in giving businesses what they deserve; nothing but clean and safe email.","Technology, Information and Internet","2-10 employees","Privately Held","West Hoxton, NSW","Australia","mailshark.com.au","https://www.linkedin.com/company/mailshark-corporation"
